ags,pv,wind_on,biomass,water
01056031,417.33699999999993,0.0,0.0,0.0
01056033,512.2150000000001,0.0,0.0,0.0
01056042,486.82,14700.0,0.0,0.0
01056045,509.0999999999999,0.0,0.0,0.0
01056046,128.50000000000003,0.0,0.0,0.0
01056006,966.4900000000002,0.0,0.0,0.0
01056010,1702.9650000000001,0.0,150.0,0.0
01056038,1240.77,0.0,375.0,0.0
01056051,1631.0300000000002,0.0,0.0,0.0
01056003,447.67999999999995,0.0,0.0,0.0
01056004,104.03,0.0,0.0,0.0
01056008,615.482,0.0,1328.0,0.0
01056011,224.62000000000003,0.0,0.0,0.0
01056014,399.53000000000003,0.0,0.0,0.0
01056017,1202.77,0.0,0.0,0.0
01056022,211.93,0.0,0.0,0.0
01056026,1180.5839999999998,0.0,400.0,0.0
01056034,64.44,0.0,0.0,0.0
01056035,819.59,0.0,3740.0,0.0
01056009,640.235,0.0,150.0,0.0
01056013,549.82,0.0,0.0,0.0
01056032,225.48199999999997,0.0,0.0,0.0
01056040,1437.14,0.0,0.0,0.0
01056047,341.276,0.0,0.0,0.0
01056001,653.6100000000001,0.0,0.0,0.0
01056016,227.54500000000002,0.0,0.0,0.0
01056019,962.3150000000002,0.0,0.0,0.0
01056020,460.2460000000001,0.0,0.0,0.0
01056023,368.1210000000001,0.0,0.0,0.0
01056024,324.55499999999995,8.0,265.0,0.0
01056027,225.904,0.0,0.0,0.0
01056028,598.32,0.0,0.0,0.0
01056036,708.0480000000001,7800.0,0.0,0.0
01056037,245.58,0.0,0.0,0.0
01057001,791.11,0.0,376.0,0.0
01057008,723.5699999999999,0.0,1723.0,0.0
01057009,497.90500000000003,0.0,0.0,0.0
01057057,609.8950000000001,0.0,250.0,0.0
01057062,624.9390000000001,0.0,50.0,0.0
01057091,1481.679,0.0,0.0,2200.0
01057004,95.375,0.0,0.0,0.0
01057007,1025.621,0.0,930.0,0.0
01057013,420.665,0.0,600.0,0.0
01057021,443.36999999999995,0.0,800.0,0.0
01057026,54.17,0.0,0.0,60.0
01057027,168.96,0.0,0.0,0.0
01057029,267.805,0.0,0.0,0.0
01057030,83.74999999999999,0.0,0.0,0.0
01057034,449.45,0.0,0.0,0.0
01057035,123.63499999999999,0.0,0.0,0.0
01057038,228.975,0.0,1137.0,0.0
01057048,375.03499999999997,0.0,450.0,0.0
01057055,738.1899999999999,0.0,0.0,0.0
01057076,120.38000000000001,0.0,0.0,0.0
01057082,119.76,0.0,0.0,0.0
01057015,166.10999999999999,0.0,0.0,0.0
01057017,213.34999999999997,0.0,0.0,0.0
01057022,473.4099999999999,0.0,376.0,0.0
01057032,435.34000000000003,0.0,0.0,0.0
01057045,351.34000000000003,0.0,2553.0,0.0
01057053,331.876,0.0,537.0,0.0
01057065,111.63000000000001,0.0,75.0,0.0
01057067,195.34,0.0,0.0,0.0
01057089,119.53000000000002,0.0,0.0,0.0
01057002,44.56,0.0,0.0,0.0
01057010,224.1,0.0,0.0,0.0
01057011,204.3,10.0,0.0,0.0
01057023,64.5,0.0,0.0,0.0
01057031,324.75,0.0,1898.0,0.0
01057033,131.44,0.0,0.0,0.0
01057037,233.26,0.0,0.0,0.0
01057042,715.1299999999999,0.0,0.0,0.0
01057046,1283.3900000000003,6000.0,1581.0,0.0
01057047,24.700000000000003,0.0,0.0,0.0
01057054,273.22999999999996,0.0,0.0,0.0
01057058,321.21,0.0,400.0,0.0
01057059,191.77999999999997,0.0,0.0,0.0
01057066,547.1379999999999,0.0,370.0,0.0
01057070,266.12,0.0,0.0,0.0
01057084,243.21999999999997,2400.0,680.0,0.0
01057086,68.18,0.0,0.0,0.0
01057003,384.888,0.0,0.0,0.0
01057006,40.87,0.0,0.0,0.0
01057012,339.245,0.0,0.0,0.0
01057018,70.69999999999999,0.0,0.0,0.0
01057020,202.82,8850.0,0.0,0.0
01057028,372.39,0.0,0.0,0.0
01057039,715.6000000000003,1800.0,500.0,0.0
01057040,502.08000000000004,0.0,0.0,0.0
01057041,234.54000000000002,7000.0,0.0,0.0
01057043,445.3909999999999,0.0,0.0,0.0
01057049,203.305,0.0,0.0,0.0
01057056,805.605,0.0,0.0,0.0
01057060,182.445,0.0,0.0,0.0
01057063,625.7950000000001,0.0,0.0,0.0
01057073,1557.017,0.0,0.0,0.0
01057078,320.415,1000.0,0.0,0.0
01057079,250.01,0.0,0.0,0.0
01057081,73.85,0.0,0.0,0.0
01057087,319.65500000000003,0.0,0.0,0.0
01057088,283.235,0.0,0.0,0.0
01057016,707.0199999999999,0.0,0.0,0.0
01057044,7.56,0.0,0.0,0.0
01057050,308.545,0.0,780.0,0.0
01057052,81.72999999999999,0.0,0.0,0.0
01057072,263.96500000000003,0.0,0.0,0.0
01057077,377.063,0.0,0.0,0.0
01057090,284.13,0.0,772.0,0.0
01057025,939.7149999999999,1300.0,250.0,0.0
01057051,161.96899999999997,0.0,0.0,0.0
01057074,1138.5800000000002,0.0,0.0,0.0
01057005,290.77000000000004,0.0,500.0,0.0
01057024,162.95,0.0,0.0,0.0
01057068,1183.2350000000001,0.0,500.0,0.0
01057069,1236.985,0.0,1766.0,0.0
01057071,640.19,15900.0,0.0,0.0
01057080,502.98000000000013,0.0,685.0,0.0
01057083,90.37,0.0,0.0,0.0
01057085,524.635,0.0,1052.0,0.0
01058005,1107.9959999999999,0.0,600.0,0.0
01058034,1975.2050000000002,0.0,400.0,0.0
01058043,2075.585,0.0,3459.0,0.0
01058092,364.93100000000004,0.0,0.0,0.0
01058135,10745.916,0.0,406.0,0.0
01058169,428.35,80.0,500.0,0.0
01058001,266.97,0.0,0.0,0.0
01058028,765.3299999999999,0.0,750.0,0.0
01058050,6190.779999999999,0.0,514.0,0.0
01058093,341.91,0.0,250.0,0.0
01058104,532.62,3200.0,0.0,0.0
01058126,265.12,0.0,0.0,0.0
01058130,710.7149999999999,6400.0,536.0,145.0
01058171,457.4100000000001,0.0,0.0,0.0
01058037,879.1100000000002,4500.0,0.0,0.0
01058116,556.518,15.0,0.0,0.0
01058150,1441.954,675.0,0.0,0.0
01058157,503.7300000000001,0.0,301.0,0.0
01058051,461.825,0.0,0.0,0.0
01058058,1152.68,11010.0,2900.0,0.0
01058096,822.21,0.0,400.0,0.0
01058110,167.42999999999998,0.0,0.0,0.0
01058112,866.04,1500.0,1980.0,0.0
01058121,1206.1899999999998,12.0,740.0,0.0
01058142,96.31,0.0,0.0,0.0
01058165,635.3100000000001,6.0,0.0,0.0
01058019,257.62,0.0,0.0,0.0
01058053,649.0750000000002,0.0,250.0,0.0
01058145,127.66999999999999,0.0,0.0,0.0
01058160,79.23,0.0,0.0,0.0
01058003,526.25,0.0,374.0,0.0
01058054,1695.0449999999998,0.0,0.0,0.0
01058118,463.34000000000003,0.0,1555.0,0.0
01058136,142.31,0.0,190.0,0.0
01058010,61.760000000000005,0.0,780.0,0.0
01058029,1785.205,0.0,75.0,0.0
01058036,238.41299999999998,0.0,0.0,0.0
01058047,1931.6549999999995,9000.0,1160.0,0.0
01058055,13.4,0.0,0.0,0.0
01058056,891.7149999999999,0.0,0.0,0.0
01058070,815.926,9000.0,800.0,0.0
01058078,1104.95,4.0,0.0,0.0
01058089,326.55,0.0,0.0,0.0
01058097,878.38,0.0,0.0,0.0
01058129,538.94,0.0,0.0,0.0
01058154,156.73999999999998,0.0,0.0,0.0
01058031,308.77,0.0,0.0,0.0
01058048,1016.926,0.0,1730.0,0.0
01058068,660.195,0.0,75.0,0.0
01058071,704.5349999999999,0.0,625.0,0.0
01058075,403.78,0.0,625.0,0.0
01058086,2762.0369999999975,20.0,1695.0,0.0
01058101,362.86,0.0,2310.0,0.0
01058148,1096.38,0.0,3756.0,0.0
01058155,2039.9419999999998,0.0,1210.0,0.0
01058172,1021.4399999999997,0.0,0.0,0.0
01058018,195.12,0.0,0.0,0.0
01058105,145.59300000000002,0.0,0.0,0.0
01058107,211.09999999999994,0.0,0.0,0.0
01058138,319.73,0.0,0.0,0.0
01058139,191.01999999999998,0.0,0.0,0.0
01058141,77.31,0.0,0.0,0.0
