ID;Nummer;Betreiber;Anlagenname;Bundesland;PLZ;Ort Orignal;Ort;VET 2018 [t CO2 Äq];Haupttätigkeit nach TEHG;Bezeichnung Haupttätigkeit nach TEHG;NACE WZ2008;AGS_manual;AGS;Prüfsumme
1744;14310-1291;Stadtwerke Saarbrücken GmbH;Spitzenlast-/Reservekessel;SL;66117;Saarbrücken;Saarbrücken;5.866;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;10041100;2
1746;14310-1293;Energie SaarLorLux AG;Heizkraftwerk Römerbrücke;SL;66121;Saarbrücken;Saarbrücken;174.677;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;10041100;2
206986;14310-1892;ZF Friedrichshafen AG;GuD-Heizkraftwerk;SL;66117;Saarbrücken;Saarbrücken;119.069;2;Energieumwandlung ? 50 MW FWL;NACE 35.30;;10041100;2
717;14310-0106;Allgäuer Überlandwerk GmbH;Dieselmotorenanlage zur Stromerzeugung;BY;87448;Waltenhofen;Waltenhofen;69;3;Energieumwandlung 20–50 MW FWL;NACE 35.11;;09780143;1
722;14310-0111;Allgäuer Überlandwerk GmbH;Gasturbinenanlage;BY;87448;Waltenhofen;Waltenhofen;436;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;09780143;1
945;14310-0361;Käserei Champignon Hofmeister GmbH&Co. KG;Energiezentrale;BY;87493;Lauben;Lauben;26.317;3;Energieumwandlung 20–50 MW FWL;NACE 10.51;;09780125;3
202348;14260-0269;Braas GmbH;Braas GmbH - Werk Buchen-Hainstadt;BW;74722;Buchen;Buchen (Odenwald);8.496;17;Herstellung von Keramik;NACE 23.32;;08225014;1
3694;14240-0087;Südzucker AG;Zuckerfabrik Rain;BY;86641;Rain;Rain;79.651;15;Herstellung von Kalk;NACE 10.81;9278177;09278177;3
689;14310-0078;Westfälische Wilhelms-Universität Münster;KWK-Anlage Neu;NW;48149;Münster;Münster;26.277;2;Energieumwandlung ? 50 MW FWL;NACE 86.10;;09779187;9
842;14310-0246;Westfälische Fernwärmeversorgung GmbH;Heizwerk Coerde der Westfälischen Fernwärmeversorgung GmbH;NW;48157;Münster;Münster;92;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;09779187;9
854;14310-0259;Stadtwerke Münster GmbH;Heizkraftwerk Hafen der Stadtwerke Münster GmbH;NW;48155;Münster;Münster;216.341;2;Energieumwandlung ? 50 MW FWL;NACE 35.11;;09779187;9
1701;14310-1235;BASF Coatings GmbH;Kesselhaus;NW;48165;Münster;Münster;12.939;3;Energieumwandlung 20–50 MW FWL;NACE 20.30;;09779187;9
4165;14310-1461;Armstrong Building Products GmbH - Germany;COE Trockner;NW;48153;Münster;Münster;15.338;3;Energieumwandlung 20–50 MW FWL;NACE 23.99;;09779187;9
765;14310-0159;innogy SE;FHW 110;NW;40789;Monheim;Monheim;6.942;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;05158026;2
800;14310-0198;Currenta GmbH & Co. OHG;Heizwerk Monheim NW_20_4852860_180;NW;40789;Monheim;Monheim;13.042;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;05158026;2
110;14230-0039;Märker Zement GmbH;Drehrohrofen 7;BY;86655;Harburg;Harburg (Schwaben);645.496;14;Herstellung von Zementklinker;NACE 23.51;;09779155;1
156;14240-0038;Märker Kalk GmbH;Kalkwerk Harburg;BY;86655;Harburg;Harburg (Schwaben);167.821;15;Herstellung von Kalk;NACE 23.52;;09779155;1
489;14270-0002;Sappi Ehingen GmbH;Sappi Ehingen;BW;89584;Ehingen;Ehingen (Donau);39.334;21;Herstellung von Papier;NACE 17.11;;08425033;1
363;14260-0099;Ziegelwerk Stengel GmbH & Co. KG;Ziegelwerk Stengel GmbH & Co. KG;BY;86609;Donauwörth;Donauwörth;15.813;17;Herstellung von Keramik;NACE 23.32;;09779131;1
742;14310-0132;Airbus Helicopters Deutschland GmbH;Feuerungsanlage AHD;BY;86607;Donauwörth;Donauwörth;4.860;3;Energieumwandlung 20–50 MW FWL;NACE 30.30;;09779131;1
610;14280-0129;Gebr. Lang GmbH Papierfabrik;Ettringen;BY;86833;Ettringen;Ettringen;97.965;21;Herstellung von Papier;NACE 17.12;;09778137;2
206843;14280-0175;Aviretta GmbH;Aviretta_Ettringen;BY;86833;Ettringen;Ettringen;0;21;Herstellung von Papier;NACE 17.12;;09778137;2
296;14260-0022;Ziegelwerk Klosterbeuren Ludwig Leinsing GmbH + Co KG;Ziegelwerk Klosterbeuren;BY;87727;Babenhausen;Babenhausen;43.276;17;Herstellung von Keramik;NACE 23.32;;06432002;2
205062;14226-0083;Luitpoldhütte GmbH;Eisengießerei;BY;92224;Amberg;Amberg;28.621;11;Verarbeitung von Eisenmetallen;NACE 24.51;;09361000;3
246;14250-0062;Kristall-Glasfabrik Amberg GmbH;Werk Amberg;BY;92224;Amberg;Amberg;12.072;16;Herstellung von Glas;NACE 23.13;;09361000;3
518;14280-0026;Pappenfabrik Trauchgau GmbH & Co. KG;Pappenmaschine;BY;87642;Halblech;Halblech;8.022;21;Herstellung von Papier;NACE 17.12;;09777173;1
1154;14310-0594;Huhtamaki Flexible Packaging Germany GmbH & Co. KG;Feuerungsanlage;BY;87671;Ronsberg;Ronsberg;15.387;3;Energieumwandlung 20–50 MW FWL;NACE 35.30;;09777165;1
