,ags,description,ags_state_digits,state,name
10977,16076029,"Hohenleuben, Stadt",16,TH,Hohenleuben
10978,16076038,Kühdorf,16,TH,Kühdorf
10979,16076039,Langenwetzendorf,16,TH,Langenwetzendorf
10980,16077001,"Altenburg, Stadt",16,TH,Altenburg
10981,16077028,"Lucka, Stadt",16,TH,Lucka
10982,16077032,"Meuselwitz, Stadt",16,TH,Meuselwitz
10983,16077043,"Schmölln, Stadt",16,TH,Schmölln
10984,16077002,Altkirchen,16,TH,Altkirchen
10985,16077003,Dobitschen,16,TH,Dobitschen
10986,16077004,Drogen,16,TH,Drogen
10987,16077008,Göhren,16,TH,Göhren
10988,16077009,Göllnitz,16,TH,Göllnitz
10989,16077029,Lumpzig,16,TH,Lumpzig
10990,16077031,Mehna,16,TH,Mehna
10991,16077044,Starkenberg,16,TH,Starkenberg
10992,16077005,Fockendorf,16,TH,Fockendorf
10993,16077007,Gerstenberg,16,TH,Gerstenberg
10994,16077015,Haselbach,16,TH,Haselbach
10995,16077048,Treben,16,TH,Treben
10996,16077052,Windischleuba,16,TH,Windischleuba
10997,16077022,Kriebitzsch,16,TH,Kriebitzsch
10998,16077027,Lödla,16,TH,Lödla
10999,16077034,Monstab,16,TH,Monstab
11000,16077042,Rositz,16,TH,Rositz
11001,16077016,Heukewalde,16,TH,Heukewalde
11002,16077018,Jonaswalde,16,TH,Jonaswalde
11003,16077026,Löbichau,16,TH,Löbichau
11004,16077037,Nöbdenitz,16,TH,Nöbdenitz
11005,16077041,Posterstein,16,TH,Posterstein
11006,16077047,Thonhausen,16,TH,Thonhausen
11007,16077049,Vollmershain,16,TH,Vollmershain
11008,16077051,Wildenbörten,16,TH,Wildenbörten
11009,16077012,"Gößnitz, Stadt",16,TH,Gößnitz
11010,16077017,Heyersdorf,16,TH,Heyersdorf
11011,16077039,Ponitz,16,TH,Ponitz
11012,16077011,Göpfersdorf,16,TH,Göpfersdorf
11013,16077023,Langenleuba-Niederhain,16,TH,Langenleuba-Niederhain
11014,16077036,Nobitz,16,TH,Nobitz
11015,01051000,"Dithmarschen, (Kreis)",01,SH,Dithmarschen
11016,01053000,"Herzogtum Lauenburg, (Kreis)",01,SH,Herzogtum Lauenburg
11017,01054000,"Nordfriesland, (Kreis)",01,SH,Nordfriesland
11018,01055000,"Ostholstein, (Kreis)",01,SH,Ostholstein
11019,01056000,"Pinneberg, (Kreis)",01,SH,Pinneberg
11020,01057000,"Plön, (Kreis)",01,SH,Plön
11021,01058000,"Rendsburg-Eckernförde, (Kreis)",01,SH,Rendsburg-Eckernförde
11022,01059000,"Schleswig-Flensburg, (Kreis)",01,SH,Schleswig-Flensburg
11023,01060000,"Segeberg, (Kreis)",01,SH,Segeberg
11024,01061000,"Steinburg, (Kreis)",01,SH,Steinburg
11025,01062000,"Stormarn, (Kreis)",01,SH,Stormarn
11026,03151000,"Gifhorn, (Landkreis)",03,NI,Gifhorn
11027,03153000,"Goslar, (Landkreis)",03,NI,Goslar
11028,03154000,"Helmstedt, (Landkreis)",03,NI,Helmstedt
11029,03155000,"Northeim, (Landkreis)",03,NI,Northeim
11030,03157000,"Peine, (Landkreis)",03,NI,Peine
11031,03158000,"Wolfenbüttel, (Landkreis)",03,NI,Wolfenbüttel
11032,03159000,"Göttingen, (Landkreis)",03,NI,Göttingen
11033,03241000,"Region Hannover, (Landkreis)",03,NI,Region Hannover
11034,03251000,"Diepholz, (Landkreis)",03,NI,Diepholz
11035,03252000,"Hameln-Pyrmont, (Landkreis)",03,NI,Hameln-Pyrmont
11036,03254000,"Hildesheim, (Landkreis)",03,NI,Hildesheim
